input1_name,input1_qty,input1_href,input1_img,input1_bg,input2_name,input2_qty,input2_href,input2_img,input2_bg,input3_name,input3_qty,input3_href,input3_img,input3_bg,output_name,output_qty,output_href,output_img,output_bg
Salvaged Data,1,https://nomansskyrecipes.com/technology/conTech90,https://app.nmsassistant.com/assets/images/constructedTechnology/90.png,#1A2733,,,,,,,,,,,Nanite Cluster,15,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Living Pearl,1,https://nomansskyrecipes.com/curiosities/cur17,https://app.nmsassistant.com/assets/images/curiosities/17.png,#CCCCCC,,,,,,,,,,,Gold,100,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Hypnotic Eye,1,https://nomansskyrecipes.com/curiosities/cur18,https://app.nmsassistant.com/assets/images/curiosities/18.png,#CCCCCC,,,,,,,,,,,Living Slime,50,https://nomansskyrecipes.com/raw/raw54,https://app.nmsassistant.com/assets/images/rawMaterials/54.png,#5B6F35
Hadal Core,1,https://nomansskyrecipes.com/curiosities/cur19,https://app.nmsassistant.com/assets/images/curiosities/19.png,#CCCCCC,,,,,,,,,,,Nanite Cluster,50,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Crystal Sulphide,1,https://nomansskyrecipes.com/curiosities/cur32,https://app.nmsassistant.com/assets/images/curiosities/32.png,#CCCCCC,,,,,,,,,,,Sodium Nitrate,50,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Larval Core,1,https://nomansskyrecipes.com/curiosities/cur15,https://app.nmsassistant.com/assets/images/curiosities/15.png,#CCCCCC,,,,,,,,,,,Nanite Cluster,50,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Cyto-Phosphate,1,https://nomansskyrecipes.com/raw/raw18,https://app.nmsassistant.com/assets/images/rawMaterials/18.png,#1E8A42,,,,,,,,,,,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Hexite,1,https://nomansskyrecipes.com/raw/raw4,https://app.nmsassistant.com/assets/images/rawMaterials/4.png,#DEDCD1,,,,,,,,,,,Gold,1,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Frost Crystal,40,https://nomansskyrecipes.com/raw/raw43,https://app.nmsassistant.com/assets/images/rawMaterials/43.png,#1E4FD0,,,,,,,,,,,Glass,1,https://nomansskyrecipes.com/products/prod54,https://app.nmsassistant.com/assets/images/products/54.png,#CCCCCC
Gold,1,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06,,,,,,,,,,,Pyrite,1,https://nomansskyrecipes.com/raw/raw25,https://app.nmsassistant.com/assets/images/rawMaterials/25.png,#E57002
Platinum,35,https://nomansskyrecipes.com/raw/raw34,https://app.nmsassistant.com/assets/images/rawMaterials/34.png,#507575,,,,,,,,,,,Nanite Cluster,1,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Pugneum,25,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,,,,,,Nanite Cluster,1,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Mordite,3,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,,,,,,,,,,,Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E
Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,,,,,,Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Di-hydrogen,30,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,,,,,,,,,,,Di-hydrogen Jelly,1,https://nomansskyrecipes.com/products/prod11,https://app.nmsassistant.com/assets/images/products/11.png,#C01746
Di-hydrogen Jelly,1,https://nomansskyrecipes.com/products/prod11,https://app.nmsassistant.com/assets/images/products/11.png,#C01746,,,,,,,,,,,Di-hydrogen,40,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D
Cobalt,2,https://nomansskyrecipes.com/raw/raw14,https://app.nmsassistant.com/assets/images/rawMaterials/14.png,#005C83,,,,,,,,,,,Ionised Cobalt,1,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
